SL,SL_Filter,GT,GT_Filter
1939043,-1166162.652,1498821.429,-309925.2006
1013651,-2091554.652,647526.9305,-1161219.7
2451126,-654079.6522,1403030.006,-405716.6236
2989985,-115220.6522,2189582.625,380835.9948
6049315,2944109.348,4124948.117,2316201.487
2418846,-686359.6522,1909533.198,100786.5681
6759353,3654147.348,2783687.243,974940.6126
8837352,5732146.348,3101721.046,1292974.415
2842175,-263030.6522,1304650.722,-504095.9081
2276142,-829063.6522,1539565.683,-269180.9472
3634879,529673.3478,1697490.766,-111255.8643
4102383,997177.3478,2909107.582,1100360.952
1704955,-1400250.652,1050416,-758330.6301
710321,-2394884.652,580517.82,-1228228.81
2448896,-656309.6522,1029155,-779591.6301
2866085,-239120.6522,1829838.56,21091.93033
4962707,1857501.348,2740062.031,931315.4008
3060421,-44784.65217,1780857.86,-27888.77008
1526677,-1578528.652,1189808,-618938.6301
2082832,-1022373.652,1417037.873,-391708.7571
1165322,-1939883.652,1076309,-732437.6301
2089599,-1015606.652,1192413,-616333.6301
3487665,382459.3478,2605092,796345.3699
